marker_accession	marker_type_name	chr_id	chr_pos	p_value	pubmed_id	author	journal	pubmed_link	study	allele	trait	gene	or_per_copy	platform	ci_95	chr_location	initial_size	replicate_size	merged	cur_snp_id	snp_gene_symbols	snp_gene_ids	snp_gene_validated
2268983	SNP	14	69408696	7e-06	19247474	Caporaso N	PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/19247474?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Genome-wide and candidate gene association study of cigarette smoking behaviors.	?	Smoking behavior	ACTN1	1.52	Illumina [~518,000]		14q24.1	4,611 individuals (2,617 smokers)		0	2268983	ACTN1	87	1
12883884	SNP	14	70517182	8e-06	21602797	Wright FA	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21602797	Genome-wide association and linkage identify modifier loci of lung disease severity in cystic fibrosis at 11p13 and 20q13.2.	T	Cystic fibrosis severity	SLC8A3		Illumina [~2,609,000] (imputed)			up to 2,494 individuals with cystic fibrosis	up to 973 individuals with cystic fibrosis from sibling pairs	0	12883884	SLC8A3	6547	1
17108533	SNP	14	71249801	1e-06	21107309	McClay JL	Neuropsychopharmacology	http://www.ncbi.nlm.nih.gov/pubmed/21107309	Genome-wide pharmacogenomic study of neurocognition as an indicator of antipsychotic treatment response in schizophrenia.	?	Reasoning	MAP3K9		Affymetrix [492,900]		14q24.2	738 schizophrenia cases		0	17108533	MAP3K9	4293	1
36563	SNP	14	71352647	5e-06	19581569	Treutlein J	Arch Gen Psychiatry	http://www.ncbi.nlm.nih.gov/pubmed/19581569	Genome-wide association study of alcohol dependence.	A	Alcohol dependence	Intergenic	1.33	Illumina [524,396]	[1.18-1.50]	14q24.2	476 European ancestry cases, 1,358 European ancestry controls	1,024 European ancestry cases, 996 European ancestry controls	0	36563			
2810114	SNP	14	71395603	4e-06	22004471	Frank J	Addict Biol	http://www.ncbi.nlm.nih.gov/pubmed/22004471	Genome-wide significant association between alcohol dependence and a variant in the ADH gene cluster.	?	Alcohol dependence		1.29	Illumina [463,044]	[1.16-1.44]		1,333 European ancestry cases, 2,168 European ancestry controls		0	2810114	PCNX	22990	1
11848785	SNP	14	72057354	1e-10	21076409	Sotoodehnia N	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21076409	Common variants in 22 loci are associated with QRS duration and cardiac ventricular conduction.	G	Ventricular conduction	SIPA1L1	0.5	Affymetrix &amp; Illumina [~2.5 million] (imputed)	[0.34-0.66] ms decrease	14q24.2	40,407 European ancestry individuals	7,170 European ancestry individuals	0	11848785	SIPA1L1	26037	1
4902960	SNP	14	72432148	1e-06	22566634	Benjamin DJ	Proc Natl Acad Sci U S A	http://www.ncbi.nlm.nih.gov/pubmed/22566634	The genetic architecture of economic and political preferences.	G	Economic and political preferences (environmentalism)	RGS6	0.19	Illumina [628,922]	[0.11-0.27] unit increase		9,617 individuals		0	4902960	RGS6	9628	1
699363	SNP	14	72692492	5e-06	21935397	Paternoster L	PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/21935397	Genome-wide population-based association study of extremely overweight young adults--the GOYA study.	G	Obesity (extreme)	RGS6		Illumina [545,349]			2,633 European ancestry extremely obese adults, 2,740 European ancestry controls	29,181 European ancestry individuals	0	699363	RGS6	9628	1
7159300	SNP	14	72883873	4e-06	20811658	Uhl GR	Mol Med	http://www.ncbi.nlm.nih.gov/pubmed/20811658	Genome-wide association for smoking cessation success in a trial of precessation nicotine replacement.	?	Smoking cessation	RGS6		Affymetrix [905,273]		14q24.2	369 European-American smokers		0	7159300	RGS6	9628	1
4903031	SNP	14	73019235	5e-06	21300955	Dehghan A	Circulation	http://www.ncbi.nlm.nih.gov/pubmed/21300955	Meta-analysis of genome-wide association studies in &gt;80 000 subjects identifies multiple loci for C-reactive protein levels.	G	C-reactive protein	RGS6	0.03	Affymetrix &amp; Illumina [~2.5 million] (imputed)	[0.02-0.04] unit increase	14q24.2	66,185 European ancestry individuals	16,540 European ancestry individuals	0	4903031	RGS6	9628	1
2526932	SNP	14	73081067	6e-13	22788528	Kong M	Int J Immunogenet	http://www.ncbi.nlm.nih.gov/pubmed/22788528	Genetic associations with C-reactive protein level and white blood cell count in the KARE study.	G	C-reactive protein and white blood cell count	Intergenic	0.28	Affymetrix [1,701,735] (imputed)			8,722 individuals		0	2526932			
10483853	SNP	14	73756298	6e-06	17903303	O&#39;Donnell CJ	BMC Med Genet	http://www.ncbi.nlm.nih.gov/pubmed/17903303?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Genome-wide association study for subclinical atherosclerosis in major arterial territories in the NHLBI&#39;s Framingham Heart Study.	?	Coronary artery calcification	NUMB		Affymetrix[70,897]		14q24.2	673-984 individuals, depending on measure(Framingham)		0	10483853	NUMB	8650	1
2239557	SNP	14	74551969	3e-07	20585627	Eriksson N	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/20585627	Web-based, participant-driven studies yield novel genetic associations for common traits.	?	Common traits (Other)			Illumina [535,076]		14q24.3	9,126 European ancestry individuals		0	2239557	ALDH6A1;LIN52	4329;91750	1
862034	SNP	14	74990745	7e-14	20881960	Lango Allen H	Nature	http://www.ncbi.nlm.nih.gov/pubmed/20881960	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	A	Height	LTBP2	0.03	Affymetrix,  Illumina [2,834,208] (imputed)			133,653 European ancestry individuals	50,074 European ancestry individuals	0	862034	LTBP2	4053	1
8014204	SNP	14	75322793	5e-06	21490707	Cornelis MC	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/21490707	Genome-wide meta-analysis identifies regions on 7p21 (AHR) and 15q24 (CYP1A2) as determinants of habitual caffeine consumption.	A	Caffeine consumption		0.07	Affymetrix &amp; Illumina [~2.5 million] (imputed)	[0.04-0.10] mg/day increase	14q24.3	47,431 European ancestry individuals		0	8014204	PROX2	283571	1
910316	SNP	14	75626041	1e-07	19343178	Soranzo N	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/19343178?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Meta-analysis of genome-wide scans for human adult stature identifies novel Loci and associations with measures of skeletal frame size.	?	Height	TMED10	0.05	Illumina [229,216]	[0.03-0.07] s.d. increase	14q24.3	12,611 individuals	7,187 individuals	0	910316	TMED10	10972	1
7155603	SNP	14	75960535	1e-07	20453842	Stahl EA	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/20453842	Genome-wide association study meta-analysis identifies seven new rheumatoid arthritis risk loci.	G	Rheumatoid arthritis	BATF	1.16	Affymetrix &amp; Illumina [~2,716,259] (imputed)		14q24.3	5,539 European ancestry cases, 20,169 European ancestry controls	6,768 European ancestry cases, 8,806 European ancestry controls	0	7155603			
2300603	SNP	14	76005556	2e-08	21833088	Sawcer S	Nature	http://www.ncbi.nlm.nih.gov/pubmed/21833088	Genetic risk and a primary role for cell-mediated immune mechanisms in multiple sclerosis.	A	Multiple sclerosis	BATF	1.11	Illumina [465,434]	[1.09-1.12]		9,772 European ancestry cases, 16,849 European ancestry controls	4,218 European ancestry cases, 7,296 European ancestry controls	0	2300603	BATF	10538	1
724743	SNP	14	76129590	1e-07	21998595	N&#39;Diaye A	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/21998595	Identification, replication, and fine-mapping of Loci associated with adult height in individuals of african ancestry.	A	Height	TTLL5	0.1	Affymetrix &amp; Illumina [3,310,998] (imputed)	[0.064-0.138] unit increase		20,427 African ancestry individuals	Up to 16,436 African American individuals	0	724743	TTLL5	23093	1
935334	SNP	14	76613677	3e-06	17903302	Levy D	BMC Med Genet	http://www.ncbi.nlm.nih.gov/pubmed/17903302?ordinalpos=7&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Framingham Heart Study 100K Project: genome-wide associations for blood pressure and arterial stiffness.	?	Blood pressure	Intergenic		Affymetrix[70,897]		14q24.3	644-1,327 individuals, depending on measure(Framingham)		0	935334			
2121070	SNP	14	76650763	5e-06	17903302	Levy D	BMC Med Genet	http://www.ncbi.nlm.nih.gov/pubmed/17903302?ordinalpos=7&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Framingham Heart Study 100K Project: genome-wide associations for blood pressure and arterial stiffness.	?	Blood pressure	C14orf118		Affymetrix[70,897]		14q24.3	644-1,327 individuals, depending on measure(Framingham)		0	2121070	C14orf118	55668	1
7156960	SNP	14	76703350	1e-06	22076464	Ellinghaus E	Leukemia	http://www.ncbi.nlm.nih.gov/pubmed/22076464	Identification of germline susceptibility loci in ETV6-RUNX1-rearranged childhood acute lymphoblastic leukemia.	?	Acute lymphoblastic leukemia (childhood)	C14orf118		Affymetrix [355,750]			419 European ancestry cases, 474 European ancestry controls	Up to 1,277 European ancestry cases and 3,061 European ancestry controls	0	7156960			
7156960	SNP	14	76703350	3e-06	22076464	Ellinghaus E	Leukemia	http://www.ncbi.nlm.nih.gov/pubmed/22076464	Identification of germline susceptibility loci in ETV6-RUNX1-rearranged childhood acute lymphoblastic leukemia.	?	Acute lymphoblastic leukemia (childhood)	C14orf118	1.22	Affymetrix [355,750]	[1.12-1.33]		419 European ancestry cases, 474 European ancestry controls	Up to 1,277 European ancestry cases and 3,061 European ancestry controls	0	7156960			
2360997	SNP	14	76812490	8e-06	18846501	Sonuga-Barke EJ	Am J Med Genet B Neuropsychiatr Genet	http://www.ncbi.nlm.nih.gov/pubmed/18846501?ordinalpos=9&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Does parental expressed emotion moderate genetic effects in ADHD? An exploration using a genome wide association scan.	C	Attention deficit hyperactivity disorder symptoms (interaction)	Intergenic	1.3	Perlegen[429,981]		14q24.3	909 trios		0	2360997			
183266	SNP	14	77497974	5e-06	22379998	McCormack M	Pharmacogenomics	http://www.ncbi.nlm.nih.gov/pubmed/22379998	Genome-wide mapping for clinically relevant predictors of lamotrigine- and phenytoin-induced hypersensitivity reactions.	?	Adverse response to lamotrigine and phenytoin	IRF2BPL		Illumina [NR]			34 European ancestry lamotrigine-induced hypersensitivity cases, 42 European ancestry phenytoin-induced hypersensitivity cases, 1,296 European ancestry controls		0	183266			
3850370	SNP	14	78534905	4e-06	22872573	Hu L	Clin Cancer Res	http://www.ncbi.nlm.nih.gov/pubmed/22872573	Genome-Wide Association Study of Prognosis in Advanced Non-Small Cell Lung Cancer Patients Receiving Platinum-Based Chemotherapy.	C	Response to platinum-based chemotherapy in non-small-cell lung cancer	SKIIP, SNW1, ALKBH1, NRXN3	1.31	NR [576,351]	[1.17-1.47]		528 Han Chinese cases	340 Han Chinese cases, 409 European ancestry cases	0	3850370			
11624704	SNP	14	78786076	3e-09	21552555	Wang K	PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/21552555	A genome-wide association study on obesity and obesity-related traits.	?	Obesity	NRXN3		Illumina [~550,000]		14q24.3	520 European ancestry cases, 540 European ancestry controls	1,196 non-Hispanic Caucasian individuals	0	11624704			
6574433	SNP	14	78786158	6e-06	20125193	Cirulli ET	Eur J Hum Genet	http://www.ncbi.nlm.nih.gov/pubmed/20125193	Common genetic variation and performance on standardized cognitive tests.	?	Cognitive test performance	AC007056.4-3		Illumina [up to 563,855]		14q24.3	Up to 1,086 individuals		0	6574433			
10150332	SNP	14	79936963	3e-11	20935630	Speliotes EK	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	C	Body mass index	NRXN3	0.13	Affymetrix, Illumina and Perlegen [~2.8 million] (imputed)	[0.07-0.19] kg/m2 increase	14q31.1	Up to 123,865 European ancestry individuals	Up to 125,931 European ancestry individuals	0	10150332	NRXN3	9369	1
10146997	SNP	14	79945161	5e-08	19557197	Heard-Costa NL	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/19557197	NRXN3 is a novel locus for waist circumference: a genome-wide association study from the CHARGE Consortium.	G	Waist circumference	NRXN3	0.65	Affymetrix &amp; Illumina [up to 512,349]		14q31.1	31,373 European ancestry individuals	38,641 European ancestry individuals	0	10146997	NRXN3	9369	1
12101261	SNP	14	81451228	7e-24	21841780	Chu X	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21841780	A genome-wide association study identifies two new risk loci for Graves&#39; disease.	T	Graves&#39; disease	TSHR	1.35	Illumina [486,049]	[1.28-1.43]		1,468 Chinese ancestry cases, 1,490 Chinese ancestry controls	3,994 Chinese ancestry cases, 3,510 Chinese ancestry controls	0	12101261	TSHR	7253	1
17111394	SNP	14	81523127	4e-06	20395239	Macgregor S	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/20395239	Genome-wide association identifies ATOH7 as a major gene determining human optic disc size.	T	Optic disc size (rim)	TSHR	0.22	Illumina [~2.74 million] (imputed)	[0.11-0.33] unit increase	14q31.1	1,368 Australian twins, 848 UK individuals		0	17111394	TSHR	7253	1
8017455	SNP	14	81575453	6e-06	19896111	Medland SE	Am J Hum Genet	http://www.ncbi.nlm.nih.gov/pubmed/19896111?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&amp;ordinalpos=2	Common variants in the trichohyalin gene are associated with straight hair in Europeans.	T	Hair morphology	TSHR		Illumina [~1 million] (imputed)		14q31.1	1,649 Australian siblings, 3,196 Australian twins, 16,140 European descent individuals		0	8017455	TSHR	7253	1
3783938	SNP	14	81594379	8e-07	22589738	Fox CS	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22589738	Genome-wide association for abdominal subcutaneous and visceral adipose reveals a novel locus for visceral fat in women.	T	Visceral fat	TSHR		Affymetrix &amp; Illumina [2.5 million] (imputed)			5,560 European ancestry women and 4,997 European ancestry men		0	3783938	TSHR	7253	1
11159647	SNP	14	84775208	2e-06	18976728	Bertram L	Am J Hum Genet	http://www.ncbi.nlm.nih.gov/pubmed/18976728?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Genome-wide association analysis reveals putative Alzheimer&#39;s disease susceptibility loci in addition to APOE.	?	Alzheimer&#39;s disease	Intergenic		Affymetrix[484,522]		14q31.2	941 affected individuals,404 unaffected individuals	1,767 affected individuals,838 unaffected individuals	0	11159647			
12436689	SNP	14	85654018	7e-06	22424883	Imboden M	J Allergy Clin Immunol	http://www.ncbi.nlm.nih.gov/pubmed/22424883	Genome-wide association study of lung function decline in adults with and without asthma.	?	Pulmonary function decline	FLRT2	0.21	Illumina [~2.5 million] (imputed)	[0.12-0.30] unit decrease		1,441 European ancestry asthma cases, 2,677 European ancestry controls	1,160 European ancestry asthma cases, 10,858 European ancestry controls	0	12436689			
11624056	SNP	14	87506247	3e-08	21658281	Aouizerat BE	BMC Cardiovasc Disord	http://www.ncbi.nlm.nih.gov/pubmed/21658281	GWAS for discovery and replication of genetic loci associated with sudden cardiac arrest in patients with coronary artery disease.	?	Sudden cardiac arrest	Intergenic	1.43	Affymetrix [319,222]	[1.26-1.62]		89 European ancestry cases, 520 European ancestry controls		0	11624056			
4322600	SNP	14	88295599	4e-06	22923054	Chen F	Hum Genet	http://www.ncbi.nlm.nih.gov/pubmed/22923054	A genome-wide association study of breast cancer in women of African ancestry.	G	Breast cancer	GALC	1.18	Illumina [2,067,098] (imputed)	[1.10-1.27]		3,016 African American cases, 2,745 African American controls	3,533 African ancestry cases, 11,046 African ancestry controls	0	4322600			
8005161	SNP	14	88472594	4e-18	21102463	Franke A	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn&#39;s disease susceptibility loci.	T	Crohn&#39;s disease	GALC,GPR65	1.23	Affymetrix &amp; Illumina [953,241] (imputed)	[1.16-1.31]		6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry parent-offspring trios	0	8005161	GPR65	8477	1
2119704	SNP	14	88487688	2e-10	21833088	Sawcer S	Nature	http://www.ncbi.nlm.nih.gov/pubmed/21833088	Genetic risk and a primary role for cell-mediated immune mechanisms in multiple sclerosis.	C	Multiple sclerosis	GPR65	1.22	Illumina [465,434]	[1.19-1.25]		9,772 European ancestry cases, 16,849 European ancestry controls	4,218 European ancestry cases, 7,296 European ancestry controls	0	2119704			
6574988	SNP	14	88559991	4e-06	21254220	Jiang Y	Genet Epidemiol	http://www.ncbi.nlm.nih.gov/pubmed/21254220	Propensity score-based nonparametric test revealing genetic variants underlying bipolar disorder.	?	Bipolar disorder			Affymetrix [NR]			1,868 European ancestry cases and 2,938 European ancestry controls		0	6574988			
17124581	SNP	14	88826681	3e-06	21130836	Luciano M	Biol Psychol	http://www.ncbi.nlm.nih.gov/pubmed/21130836	Whole genome association scan for genetic polymorphisms influencing information processing speed.	T	Information processing speed	SPATA7	0.27	Illumina [~610,000]	[0.15-0.39] unit decrease	14q31.3	1,659 Caucasian individuals from 730 families, 2,374 European descent individuals		0	17124581			
8004664	SNP	14	90034971	3e-06	22581228	Manning AK	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/22581228	A genome-wide approach accounting for body mass index identifies genetic variants influencing fasting glycemic traits and insulin resistance.	?	Fasting glucose-related traits (interaction with BMI)	FOXN3		Affymetrix &amp; Illumina [~2.4 million] (imputed)			Up to 58,074 European ancestry individuals	Up tp 38,422 European ancestry individuals	0	8004664	FOXN3	1112	1
12100561	SNP	14	90301034	4e-06	21105107	Clifford RJ	Hepatology	http://www.ncbi.nlm.nih.gov/pubmed/21105107	Genetic variations at loci involved in the immune response are risk factors for hepatocellular carcinoma.	?	Hepatocellular carcinoma	C14orf143	1.52	Affymetrix [658,897]	[1.26-1.83]	14q32.11	180 Korean hepatocellular carcinoma cases, 271 Korean controls	206 Korean hepatocellular carcinoma cases, 316 Korean controls, 100 Chinese controls	0	12100561	C14orf143	90141	1
8017423	SNP	14	90679909	7e-06	20400778	Morrison AC	Circ Cardiovasc Genet	http://www.ncbi.nlm.nih.gov/pubmed/20400778	Genomic variation associated with mortality among adults of European and African ancestry with heart failure: the cohorts for heart and aging research in genomic epidemiology consortium.	T	Mortality among heart failure patients	KCNK13	1.64	Affymetrix [~2.4 million] (imputed)	[0.94-2.78]	14q32.11	2,526 European ancestry individuals, 466 African ancestry individuals		0	8017423			
2282032	SNP	14	90758890	1e-06	20834067	Yashin AI	Aging (Albany NY)	http://www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	?	Longevity	C14orf102		[~550,000]			1,173 individuals		0	2282032	C14orf102	55051	1
17793829	SNP	14	91022184	9e-06	21993531	Kuparinen T	Genes Immun	http://www.ncbi.nlm.nih.gov/pubmed/21993531	Genome-wide association study does not reveal major genetic determinants for anti-cytomegalovirus antibody response.	A	Cytomegalovirus antibody response	TTC7B	0.2	Illumina [546,677]	[0.11-0.29] unit increase		1,485 European ancestry sero-postitive individuals, 648 European ancestry sero-negative individuals		0	17793829	TTC7B	145567	1
7153027	SNP	14	92427221	1e-10	18391951	Gudbjartsson DF	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/18391951?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Many sequence variants affecting diversity of adult human height.	A	Height	TRIP11, FBLN5, ATXN3, CPSF2	5.7	Illumina and Affymetrix[up to 304,226]	[3.94-7.46] % s.d. taller	14q32.12	30,968 individuals	8,541 individuals	0	7153027			
8007661	SNP	14	92459957	6e-10	18391950	Lettre G	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/18391950?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Identification of ten loci associated with height highlights new biological pathways in human growth.	T	Height	TRIP11,ATXN3	0.42	Affymetrix and Illumina[2,260,683](imputed)	[0.30-0.54] cm shorter	14q32.12	15,821 individuals	13,671 individuals	0	8007661	TRIP11	9321	1
7155279	SNP	14	92485880	1e-10	20881960	Lango Allen H	Nature	http://www.ncbi.nlm.nih.gov/pubmed/20881960	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	T	Height	TRIP11	0.02	Affymetrix,  Illumina [2,834,208] (imputed)			133,653 European ancestry individuals	50,074 European ancestry individuals	0	7155279	TRIP11	9321	1
17807815	SNP	14	92556054	6e-06	22419666	Shi M	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	?	Orofacial clefts	ATXN3	2.38	Illumina [NR]	[1.59-3.57]		1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads		0	17807815	ATXN3	4287	1
1009170	SNP	14	92636712	2e-06	21546767	Murea M	Am J Nephrol	http://www.ncbi.nlm.nih.gov/pubmed/21546767	Genome-wide association scan for survival on dialysis in African-Americans with type 2 diabetes.	?	Dialysis-related mortality	SLC24A4, CPSF2	2	Affymetrix [832,357]	[1.49-2.63]	14q32.12	610 African American type 2 diabetics		0	1009170			
4900109	SNP	14	92763390	8e-21	21835309	Larsson M	Am J Hum Genet	http://www.ncbi.nlm.nih.gov/pubmed/21835309	GWAS findings for human iris patterns: associations with variants in genes that influence normal neuronal pattern development.	G	Iris characteristics	SLC324A4	0.17	Illumina [274,604] (imputed)	[0.13-0.21] unit increase		2,121 European ancestry individuals	499 European ancestry adolescent twins and siblings, 73 European ancestry adults	0	4900109			
12896399	SNP	14	92773662	5e-13	20585627	Eriksson N	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/20585627	Web-based, participant-driven studies yield novel genetic associations for common traits.	T	Hair color	SLC24A4	0.31	Illumina [535,076]		14q32.12	9,126 European ancestry individuals		0	12896399			
12896399	SNP	14	92773662	1e-16	20585627	Eriksson N	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/20585627	Web-based, participant-driven studies yield novel genetic associations for common traits.	T	Eye color	SLC24A4	0.34	Illumina [535,076]		14q32.12	9,126 European ancestry individuals		0	12896399			
12896399	SNP	14	92773662	2e-23	20585627	Eriksson N	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/20585627	Web-based, participant-driven studies yield novel genetic associations for common traits.	G	Eye color	SLC24A4	1.73	Illumina [535,076]		14q32.12	9,126 European ancestry individuals		0	12896399			
12896399	SNP	14	92773662	1e-48	17952075	Sulem P	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/17952075?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Genetic determinants of hair, eye and skin pigmentation in Europeans.	T	Blond vs. brown hair color	SLC24A4	2.56	Illumina[317,511]	[2.12-3.09]	14q32.12	2,986 individuals	3,932 individuals	0	12896399			
12896399	SNP	14	92773662	4e-38	17952075	Sulem P	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/17952075?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Genetic determinants of hair, eye and skin pigmentation in Europeans.	T	Blue vs. green eyes	SLC24A4	2.06	Illumina[317,511]	[1.76-2.42]	14q32.12	2,986 individuals	3,932 individuals	0	12896399			
12896399	SNP	14	92773662	8e-21	18483556	Han J	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/18483556?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	A genome-wide association study identifies novel alleles associated with hair color and skin pigmentation.	G	Black vs. blond hair color	SLC24A4	0.18	Illumina[528,173]	[0.14-0.22] increase in hair color score	14q32.12	2,287 women	up to 8,465 individuals	0	12896399			
4904947	SNP	14	92972161	8e-06	21546767	Murea M	Am J Nephrol	http://www.ncbi.nlm.nih.gov/pubmed/21546767	Genome-wide association scan for survival on dialysis in African-Americans with type 2 diabetes.	?	Dialysis-related mortality	RIN3, SLC24A4	1.9	Affymetrix [832,357]	[1.43-2.52]	14q32.12	610 African American type 2 diabetics		0	4904947			
10498635	SNP	14	93103308	3e-11	21623375	Albagha OM	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21623375	Genome-wide association identifies three new susceptibility loci for Paget&#39;s disease of bone.	C	Paget&#39;s disease	RIN3	1.44	Illumina [2,487,078] (imputed)	[1.29-1.60]		741 European ancestry cases, 2,699 European ancestry controls	1,474 European descent cases, 1,671 European descent controls	0	10498635	RIN3	79890	1
6575353	SNP	14	94205344	1e-06	22754043	Byrne EM	Sleep	http://www.ncbi.nlm.nih.gov/pubmed/22754043	A genome-wide association study of caffeine-related sleep disturbance: confirmation of a role for a common variant in the adenosine receptor.	?	Insomnia (caffeine-induced)	PRIMA1	1.47	Illumina [2,380,486] (imputed)	[1.12-1.89]		2,402 individuals from 1,470 families		0	6575353	PRIMA1	145270	1
7157940	SNP	14	94563192	3e-06	19260139	Polasek O	Croat Med J	http://www.ncbi.nlm.nih.gov/pubmed/19260139?ordinalpos=2&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Genome-wide association study of anthropometric traits in Korcula Island, Croatia.	?	Anthropometric traits	LOC122509, FAM14B	0.12	Illumina [316,730]	[0.07-0.17] kg increase	14q32.13	898 individuals		0	7157940	IFI27L1	122509	1
61280460	SNP	14	94796183	8e-07	22747683	Eriksson N	BMC Med Genet	http://www.ncbi.nlm.nih.gov/pubmed/22747683	Genetic variants associated with breast size also influence breast cancer risk.	T	Breast size	SERPINA6, CLMN	0.1	Illumina [7,422,970] (imputed)	[0.058-0.132] cup size decrease		16,175 European ancestry women		0	61280460	LOC100287997	100287997	1
7151526	SNP	14	94863635	2e-09	22808956	Lyons PA	N Engl J Med	http://www.ncbi.nlm.nih.gov/pubmed/22808956	Genetically distinct subsets within ANCA-associated vasculitis.	?	Antineutrophil cytoplasmic antibody-associated vasculitis	SERPINA11, SERPINA1	1.69	Affymetrix [NR]			914 European ancestry cases, 5,259 European ancestry controls	1,454 European ancestry cases, 1,666 European ancestry controls	0	7151526			
11160190	SNP	14	95012383	4e-41	22907691	Breitfeld J	Int J Obes (Lond)	http://www.ncbi.nlm.nih.gov/pubmed/22907691	Genetic variation in the vaspin gene affects circulating serum vaspin concentrations.	G	Vaspin levels	vaspin, serpinA4	0.04	Affymetrix [390,619]			826 Sorbian individuals	1806 European ancestry individuals	0	11160190			
1187614	SNP	14	95671870	2e-07	20195266	Adkins DE	Mol Psychiatry	http://www.ncbi.nlm.nih.gov/pubmed/20195266	Genomewide pharmacogenomic study of metabolic side effects to antipsychotic drugs.	?	Response to antipsychotic treatment	CLMN		Affymetrix [492,900]		14q32.13	738 European American, African American, and other schizophrenia cases		0	1187614	CLMN	79789	1
8014194	SNP	14	95720677	2e-08	20339536	Barber MJ	PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/20339536	Genome-wide association of lipid-lowering response to statins in combined study populations.	A	Response to statin therapy	CLMN, FLJ45244, DICER1		Illumina [~2.5 million](imputed)		14q32.13	3,928 Caucasian individuals		0	8014194	CLMN	79789	1
